Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Study.type,MetaRef,Reference,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments,Method_comments,Location,Lat,Long
1760,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,617,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,25,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Popoff & Neumann 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Farmington River,41.88,-72.97
1761,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,898,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,25,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Popoff & Neumann 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Farmington River,41.88,-72.97
1762,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,425,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,357,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Hesthagen 1988,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Tverrelva River,69.73,19.2
1763,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,2825,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,22,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Popoff & Neumann 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Farmington River,41.88,-72.97
1764,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1942,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,25,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Popoff & Neumann 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Farmington River,41.88,-72.97
1765,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,2240,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,300,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bridcut & Giller 1993,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Glenfinish River,52.53,-8.19
1766,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1381,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,20,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Popoff & Neumann 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Farmington River,41.88,-72.97
1767,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1378,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,8320,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Naesje 2008,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Stream Bellbekken,61.14,-11.35
1768,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1200,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,8320,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Naesje 2008,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Stream Bellbekken,61.14,-11.35
1769,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,NA,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Solomon 1976,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Candover Brook Hampshire Downs,51.1,-1.19
1770,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1650,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,627,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Knouft & Spotila 2002,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Valley Creek,40.09,-75.46
1771,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1900,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,627,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Knouft & Spotila 2002,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Valley Creek,40.09,-75.46
1772,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,16800,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Clapp et al. 1990,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Ausable River,44.53,-84.59
1773,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,2688,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Shavers Fork,38.49,-79.96
1774,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,22730,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Clapp et al. 1990,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Ausable River,44.53,-84.59
1775,Salmo trutta,Salmo trutta,NA,Salmonidae,Dispersal,NA,Distance,1000,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,6,NA,NA,NA,Swimming,50000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Knouft & Spotila 2002,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Valley Creek,40.09,-75.46
1776,Salvelinus confluentus,Salvelinus confluentus,NA,Salmonidae,Dispersal,NA,Distance,19900,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,44,NA,NA,NA,Swimming,14510,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Muhlfeld & Marotz 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Flathead River Main Stem,48.39,-114.15
1777,Salvelinus confluentus,Salvelinus confluentus,NA,Salmonidae,Dispersal,NA,Distance,53333.33,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,669,NA,NA,NA,Swimming,14510,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bowerman 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Skiphorton Creek,45.85,-118.03
1778,Salvelinus confluentus,Salvelinus confluentus,NA,Salmonidae,Dispersal,NA,Distance,32000,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,44,NA,NA,NA,Swimming,14510,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Muhlfeld & Marotz 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Flathead River Main Stem,48.39,-114.15
1779,Salvelinus confluentus,Salvelinus confluentus,NA,Salmonidae,Dispersal,NA,Distance,11300,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,44,NA,NA,NA,Swimming,14510,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Muhlfeld & Marotz 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Flathead River Main Stem,48.39,-114.15
1780,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,315,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,9,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Unt Brook Trout,41,-77.34
1781,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,820,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1584,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Kanno et al. 2014,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,West Brook,41.75,-72.77
1782,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,33,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,2,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Shavers Fork,38.49,-79.96
1783,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,750,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1872,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Peterson & Fausch 2003,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Indiana Creek,39.44,-106.98
1784,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,775,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Upper Cherry Run,41,-77.32
1785,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,500,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,63,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Kanno et al. 2011,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,North-Western Connecticut,41.77,-73.41
1786,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,295,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,9,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Unt Brook Trout,41,-77.34
1787,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,873,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1406,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Roghair & Dolloff 2005,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Staunton River,38.45,-78.38
1788,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,4800,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,11,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Fishing Creek,41.01,-77.36
1789,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,610,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Upper Cherry Run,41,-77.32
1790,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,278,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,9,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Rocky Run,38.49,-79.96
1791,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,2100,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,6,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Lower Cherry Run,41.01,-77.34
1792,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,538,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,5,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Rocky Run,38.49,-79.96
1793,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,1900,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1872,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Peterson & Fausch 2003,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Willow Creek,40.47,-105.78
1794,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,2000,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,16,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Rocky Run,38.49,-79.96
1795,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,1950,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,105,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Kanno et al. 2011,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,North-Western Connecticut,41.77,-73.41
1796,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,2450,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1872,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Peterson & Fausch 2003,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Little Muddy,39.94,-106.03
1797,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,3000,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,6,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Lower Cherry Run Brook Trout,41.01,-77.34
1798,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,3654,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,15,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Shavers Fork,38.49,-79.96
1799,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,6910,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,11,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mollenhauer et al. 2013,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Fishing Creek,41.01,-77.36
1800,Salvelinus fontilis,Salvelinus fontinalis,NA,Salmonidae,Dispersal,NA,Distance,6515,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,20,NA,NA,NA,Swimming,8000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Petty et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Shavers Fork,38.49,-79.96
1807,Salvelinus malma,Salvelinus malma,NA,Salmonidae,Dispersal,NA,Distance,540,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,802,NA,NA,NA,Swimming,18300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bryant et al. 2009,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Hobo Creek,64.87,-164.61
1808,Salvelinus malma,Salvelinus malma,NA,Salmonidae,Dispersal,NA,Distance,307383.94,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,619,NA,NA,NA,Swimming,18300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bjornn & Mallet 1964,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Upper Salmon River,44.5,-114.18
1813,Sander lucioperca,Sander lucioperca,NA,Percidae,Dispersal,NA,Distance,35900,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,418,NA,NA,NA,Swimming,20000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Fickling & Lee 1985,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Great Ouse Relief Channel,52.15,-0.5
1814,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,36000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,92,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1815,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,15000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,5,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1816,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,103000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,46,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1817,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,217000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,64,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1818,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,187000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,40,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1819,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,208000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,120,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1820,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,115000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,22,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1821,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,147000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,13,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1822,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,245000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,59,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1823,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,200000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,21,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1824,Sander vitreus,Sander vitreus,NA,Percidae,Dispersal,NA,Distance,215000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,6,NA,NA,NA,Swimming,11340,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,McLellan et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Percidae,NA,NA,NA,Upper Spokane River Arm,48.67,-118.09
1825,Sargochromis giardi,Sargochromis giardi,NA,Cichlidae,Dispersal,NA,Distance,1222.2,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,7,NA,NA,NA,Swimming,2900,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Thorstad et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Cichlidae,NA,NA,NA,Zambezi River,-17.51,24.76
1826,Scaphirhynchus albus,Scaphirhynchus albus,NA,Acipenseridae,Dispersal,NA,Distance,5900,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,24,NA,NA,NA,Swimming,130000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bramblett 1996,NA,NA,NA,FishBase,Inferred from Family:  Acipenseridae,NA,NA,NA,Yellowstone And Missouri Rivers,47.54,-104.26
1827,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,NA,Acipenseridae,Dispersal,NA,Distance,11700,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,22,NA,NA,NA,Swimming,4880,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Hurley et al. 1987,NA,NA,NA,FishBase,Inferred from Family:  Acipenseridae,NA,NA,NA,Upper Mississippi River,42.53,-90.21
1828,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,NA,Acipenseridae,Dispersal,NA,Distance,3900,m,Maximum,NA,NA,NA,Radio-tracking,NA,Single study,27,NA,NA,NA,Swimming,4880,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Bramblett 1996,NA,NA,NA,FishBase,Inferred from Family:  Acipenseridae,NA,NA,NA,Yellowstone And Missouri Rivers,47.54,-104.26
1829,Schizodon borellii,Schizodon borellii,NA,Anostomidae,Dispersal,NA,Distance,40000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1913,NA,NA,NA,Swimming,2000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Makrakis et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Anostomidae,NA,NA,NA,Parana River,-25.41,-54.59
1833,Serranochromis altus,Serranochromis altus,NA,Cichlidae,Dispersal,NA,Distance,2497.5,m,Maximum,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,3850,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Thorstad et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Cichlidae,NA,NA,NA,Zambezi River,-17.51,24.76
1834,Sorubim lima,Sorubim lima,NA,Pimelodidae,Dispersal,NA,Distance,25000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,1122,NA,NA,NA,Swimming,1300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Makrakis et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Pimelodidae,NA,NA,NA,Parana River,-25.41,-54.59
1837,Thymallus thymallus,Thymallus thymallus,NA,Salmonidae,Dispersal,NA,Distance,104500,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,4070,NA,NA,NA,Swimming,6700,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Heggenes et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Trysilelva River,60.61,12.61
1838,Thymallus thymallus,Thymallus thymallus,NA,Salmonidae,Dispersal,NA,Distance,153000,m,Maximum,NA,NA,NA,Mark-Recapture,NA,Single study,3919,NA,NA,NA,Swimming,6700,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Heggenes et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Glomma River,60.95,11.34
1839,Tinca tinca,Tinca tinca,NA,Cyprinidae,Dispersal,NA,Distance,5516.6,m,Maximum,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,7500,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Donnelly et al. 1998,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,19Th Level Of The Grand Canal,53.28,-6.86
1845,Oncorhynchus clarkii,Oncorhynchus clarkii,NA,Salmonidae,Dispersal,NA,Distance,107,m,Median,NA,NA,NA,Mark-Recapture,NA,Single study,40,NA,NA,NA,Swimming,18600,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Gresswell & Hendricks 2007,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,North Fork Little Snake River,43.65,-124.04
1846,Oncorhynchus clarkii,Oncorhynchus clarkii,NA,Salmonidae,Dispersal,NA,Distance,1407,m,Median,NA,NA,NA,Mark-Recapture,NA,Single study,167,NA,NA,NA,Swimming,18600,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Hilderbrand & Kershner 2000,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Rail Creek (John Day),42.41,-111.37
1847,Oncorhynchus clarkii,Oncorhynchus clarkii,NA,Salmonidae,Dispersal,NA,Distance,131.01,m,Median,NA,NA,NA,Mark-Recapture,NA,Single study,3708,NA,NA,NA,Swimming,18600,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Young 2011,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Camp Creek,41.01,-107.04
1848,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,NA,Salmonidae,Dispersal,NA,Distance,79000,m,Median,NA,NA,NA,Mark-Recapture,NA,Single study,2862,NA,NA,NA,Swimming,61400,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Connor et al. 2003,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Upper Snake River,45.67,-116.51
